fishery,age,sel
22,19,8e-04
22,20,7e-04
22,21,6e-04
22,22,5e-04
22,23,5e-04
22,24,5e-04
22,25,5e-04
22,26,5e-04
22,27,5e-04
22,28,5e-04
22,29,5e-04
22,30,5e-04
22,31,5e-04
22,32,5e-04
22,33,5e-04
22,34,5e-04
22,35,5e-04
22,36,5e-04
22,37,5e-04
22,38,5e-04
22,39,5e-04
22,40,5e-04
23,1,1e-04
23,2,1
23,3,0.6319
23,4,0
23,5,0
23,6,0
23,7,0.0026
23,8,0.0362
23,9,0.0128
23,10,0.0017
23,11,3e-04
23,12,2e-04
23,13,2e-04
23,14,2e-04
23,15,2e-04
23,16,2e-04
23,17,2e-04
23,18,2e-04
23,19,2e-04
23,20,2e-04
23,21,2e-04
23,22,2e-04
23,23,2e-04
23,24,2e-04
23,25,2e-04
23,26,2e-04
23,27,2e-04
23,28,2e-04
23,29,2e-04
23,30,2e-04
23,31,2e-04
23,32,2e-04
23,33,2e-04
23,34,2e-04
23,35,2e-04
23,36,2e-04
23,37,2e-04
23,38,2e-04
23,39,2e-04
23,40,2e-04
24,1,0.0252
24,2,0.3578
24,3,1
24,4,0.1423
24,5,0.0897
24,6,0.2042
24,7,0.0737
24,8,0.0012
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
24,25,0
24,26,0
24,27,0
24,28,0
24,29,0
24,30,0
24,31,0
24,32,0
24,33,0
24,34,0
24,35,0
24,36,0
24,37,0
24,38,0
24,39,0
24,40,0
25,1,0
25,2,0.9007
25,3,1
25,4,0.9769
25,5,0.6827
25,6,0.4495
25,7,0.355
25,8,0.357
25,9,0.3858
25,10,0.3874
25,11,0.3417
25,12,0.2625
25,13,0.1794
25,14,0.1165
25,15,0.0762
25,16,0.0517
25,17,0.0369
25,18,0.0277
25,19,0.0219
25,20,0.0181
25,21,0.0155
25,22,0.0138
25,23,0.0125
25,24,0.0116
25,25,0.011
25,26,0.0105
25,27,0.0102
25,28,0.0099
25,29,0.0097
25,30,0.0096
25,31,0.0095
25,32,0.0094
25,33,0.0094
25,34,0.0094
25,35,0.0094
25,36,0.0093
25,37,0.0093
25,38,0.0093
25,39,0.0093
25,40,0.0093
26,1,0
26,2,0.3478
26,3,0.4947
26,4,0.8144
26,5,1
26,6,0.9798
26,7,0.876
26,8,0.7637
26,9,0.6436
26,10,0.5176
26,11,0.398
26,12,0.2953
26,13,0.2142
26,14,0.1562
26,15,0.117
26,16,0.0909
26,17,0.0734
26,18,0.0616
26,19,0.0533
26,20,0.0475
26,21,0.0434
26,22,0.0404
26,23,0.0382
26,24,0.0365
26,25,0.0353
26,26,0.0345
26,27,0.0338
26,28,0.0333
26,29,0.033
26,30,0.0327
26,31,0.0325
26,32,0.0324
26,33,0.0323
26,34,0.0323
26,35,0.0322
26,36,0.0322
26,37,0.0322
26,38,0.0322
26,39,0.0322
26,40,0.0322
27,1,0.0031
27,2,0.0015
27,3,9e-04
27,4,0.0021
27,5,0.009
27,6,0.0373
27,7,0.1082
27,8,0.2267
27,9,0.377
27,10,0.5329
27,11,0.6714
27,12,0.7803
27,13,0.8589
27,14,0.9127
27,15,0.948
27,16,0.9703
27,17,0.9839
27,18,0.9919
27,19,0.9964
27,20,0.9987
27,21,0.9997
27,22,1
27,23,0.9999
27,24,0.9996
27,25,0.9993
27,26,0.9989
27,27,0.9986
27,28,0.9983
27,29,0.9981
27,30,0.9979
27,31,0.9978
27,32,0.9977
27,33,0.9976
27,34,0.9976
27,35,0.9976
27,36,0.9976
27,37,0.9976
27,38,0.9976
27,39,0.9976
27,40,0.9976
28,1,0.0169
28,2,0.477
28,3,1
28,4,0.0317
28,5,0.0083
28,6,0.0289
28,7,0.0513
28,8,0.0101
28,9,5e-04
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,0
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,0
28,22,0
28,23,0
28,24,0
28,25,0
28,26,0
28,27,0
28,28,0
28,29,0
28,30,0
28,31,0
28,32,0
28,33,0
28,34,0
28,35,0
28,36,0
28,37,0
28,38,0
28,39,0
28,40,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,2e-04
29,6,0.0021
29,7,0.0187
29,8,0.0966
29,9,0.2856
29,10,0.552
29,11,0.7993
29,12,0.9533
29,13,1
29,14,0.9664
29,15,0.8943
29,16,0.8144
29,17,0.7411
29,18,0.6792
29,19,0.629
29,20,0.5894
29,21,0.5584
29,22,0.5345
29,23,0.516
29,24,0.5018
29,25,0.491
29,26,0.4828
29,27,0.4766
29,28,0.4719
29,29,0.4684
29,30,0.4658
29,31,0.4639
29,32,0.4625
29,33,0.4615
29,34,0.4609
29,35,0.4604
29,36,0.4601
29,37,0.46
29,38,0.46
29,39,0.46
29,40,0.46
30,1,0
30,2,0.4947
30,3,0.7342
30,4,1
30,5,0.6918
30,6,0.409
30,7,0.3364
30,8,0.4217
30,9,0.4726
30,10,0.3141
30,11,0.1102
30,12,0.0212
30,13,0.0025
30,14,3e-04
30,15,0
30,16,0
30,17,0
30,18,0
30,19,0
30,20,0
30,21,0
30,22,0
30,23,0
30,24,0
30,25,0
30,26,0
30,27,0
30,28,0
30,29,0
30,30,0
30,31,0
30,32,0
30,33,0
30,34,0
30,35,0
30,36,0
30,37,0
30,38,0
30,39,0
30,40,0
31,1,0
31,2,0.0959
31,3,0.2412
31,4,0.7659
31,5,0.9203
31,6,0.6792
31,7,0.5492
31,8,0.6028
31,9,0.7593
31,10,0.9221
31,11,1
31,12,0.9484
31,13,0.7958
31,14,0.6243
31,15,0.4823
31,16,0.3772
31,17,0.3028
31,18,0.2507
31,19,0.214
31,20,0.188
31,21,0.1694
31,22,0.1558
31,23,0.1459
31,24,0.1387
31,25,0.1333
31,26,0.1293
31,27,0.1264
31,28,0.1242
31,29,0.1226
31,30,0.1215
31,31,0.1206
31,32,0.12
31,33,0.1196
31,34,0.1194
31,35,0.1192
31,36,0.1191
31,37,0.119
31,38,0.119
31,39,0.119
31,40,0.119
32,1,0.0062
32,2,0.383
32,3,1
32,4,0.0202
32,5,0.0106
32,6,0.1398
32,7,0.2653
32,8,0.0075
32,9,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,0
32,15,0
32,16,0
32,17,0
32,18,0
32,19,0
32,20,0
32,21,0
32,22,0
32,23,0
32,24,0
32,25,0
32,26,0
32,27,0
32,28,0
32,29,0
32,30,0
32,31,0
32,32,0
32,33,0
32,34,0
32,35,0
32,36,0
32,37,0
32,38,0
32,39,0
32,40,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,4e-04
33,6,0.0132
33,7,0.1156
33,8,0.3621
33,9,0.6366
33,10,0.8236
33,11,0.9195
33,12,0.9674
33,13,0.9911
33,14,0.9998
33,15,1
33,16,0.9958
33,17,0.9898
33,18,0.9834
33,19,0.9773
33,20,0.9719
33,21,0.9673
33,22,0.9634
33,23,0.9603
33,24,0.9579
33,25,0.9559
33,26,0.9544
33,27,0.9533
33,28,0.9524
33,29,0.9517
33,30,0.9513
