age,year,area,f
9,1962,1,0.014570605
10,1962,1,0.014311738
11,1962,1,0.014399006
12,1962,1,0.015161942
13,1962,1,0.01649911
14,1962,1,0.01798209
15,1962,1,0.01932848
16,1962,1,0.020465452
17,1962,1,0.021395985
18,1962,1,0.022146396
19,1962,1,0.022746142
20,1962,1,0.023221896
21,1962,1,0.023596514
22,1962,1,0.023889277
23,1962,1,0.024116335
24,1962,1,0.0242911
25,1962,1,0.024424781
26,1962,1,0.024525831
27,1962,1,0.024601561
28,1962,1,0.024657781
29,1962,1,0.024699073
30,1962,1,0.024729018
31,1962,1,0.024750398
32,1962,1,0.024765354
33,1962,1,0.024775534
34,1962,1,0.024782192
35,1962,1,0.024786279
36,1962,1,0.024788514
37,1962,1,0.024789435
38,1962,1,0.024789435
39,1962,1,0.024789435
40,1962,1,0.024789435
1,1963,1,1.5096395e-06
2,1963,1,0.010334835
3,1963,1,0.0146405449
4,1963,1,0.0194819053
5,1963,1,0.0136554823
6,1963,1,0.0082490515
7,1963,1,0.0065849788
8,1963,1,0.0065514908
9,1963,1,0.0067329824
10,1963,1,0.0068934227
11,1963,1,0.0072064225
12,1963,1,0.0078080371
13,1963,1,0.0086229338
14,1963,1,0.009433779
15,1963,1,0.010117038
16,1963,1,0.010658689
17,1963,1,0.011077627
18,1963,1,0.011399048
19,1963,1,0.011645192
20,1963,1,0.011833577
21,1963,1,0.011977567
22,1963,1,0.012087347
23,1963,1,0.01217074
24,1963,1,0.012233802
25,1963,1,0.012281314
26,1963,1,0.012316734
27,1963,1,0.012342941
28,1963,1,0.012362165
29,1963,1,0.012376117
30,1963,1,0.012386112
31,1963,1,0.012393155
32,1963,1,0.012398006
33,1963,1,0.012401247
34,1963,1,0.01240331
35,1963,1,0.012404524
36,1963,1,0.012405132
37,1963,1,0.012405315
38,1963,1,0.012405315
39,1963,1,0.012405315
40,1963,1,0.012405315
1,1964,1,1.6652011e-06
2,1964,1,0.016721224
3,1964,1,0.023653377
4,1964,1,0.03144417
5,1964,1,0.021978007
6,1964,1,0.013051846
7,1964,1,0.01000639
8,1964,1,0.00955929
9,1964,1,0.00952932
10,1964,1,0.009556343
11,1964,1,0.009897064
12,1964,1,0.010739948
13,1964,1,0.011949097
14,1964,1,0.013166711
15,1964,1,0.01418981
16,1964,1,0.014995401
17,1964,1,0.015613737
18,1964,1,0.016084813
19,1964,1,0.016443469
20,1964,1,0.016716724
21,1964,1,0.016924863
22,1964,1,0.017083139
23,1964,1,0.017203128
24,1964,1,0.017293719
25,1964,1,0.017361895
26,1964,1,0.017412647
27,1964,1,0.017450151
28,1964,1,0.017477624
29,1964,1,0.017497541
30,1964,1,0.017511793
31,1964,1,0.017521825
32,1964,1,0.017528729
33,1964,1,0.017533336
34,1964,1,0.017536267
35,1964,1,0.017537991
36,1964,1,0.017538853
37,1964,1,0.017539115
38,1964,1,0.017539115
39,1964,1,0.017539115
40,1964,1,0.017539115
1,1965,1,1.3296485e-06
2,1965,1,0.024822035
3,1965,1,0.03576477
4,1965,1,0.047925874
5,1965,1,0.033255462
6,1965,1,0.018910332
7,1965,1,0.013295474
8,1965,1,0.011726212
9,1965,1,0.010852514
10,1965,1,0.010055254
11,1965,1,0.009643715
12,1965,1,0.009882947
13,1965,1,0.010667989
14,1965,1,0.011614926
15,1965,1,0.0124743
16,1965,1,0.013183729
17,1965,1,0.013747685
18,1965,1,0.014189653
19,1965,1,0.01453411
20,1965,1,0.01480169
21,1965,1,0.015008827
22,1965,1,0.015168491
23,1965,1,0.015290952
24,1965,1,0.01538436
25,1965,1,0.015455371
26,1965,1,0.015508611
27,1965,1,0.015548214
28,1965,1,0.015577409
29,1965,1,0.015598706
30,1965,1,0.015614045
31,1965,1,0.015624917
32,1965,1,0.015632462
33,1965,1,0.015637548
34,1965,1,0.015640831
35,1965,1,0.015642806
36,1965,1,0.015643845
37,1965,1,0.015644223
38,1965,1,0.015644223
39,1965,1,0.015644223
40,1965,1,0.015644223
1,1966,1,1.9883846e-06
2,1966,1,0.012683548
3,1966,1,0.01677289
4,1966,1,0.021596962
5,1966,1,0.015388541
6,1966,1,0.0099596153
7,1966,1,0.008759282
8,1966,1,0.009287551
9,1966,1,0.009953647
10,1966,1,0.01054465
11,1966,1,0.011300854
12,1966,1,0.012406371
13,1966,1,0.013785707
14,1966,1,0.015170449
15,1966,1,0.016393844
16,1966,1,0.017423519
17,1966,1,0.018270861
18,1966,1,0.018959663
19,1966,1,0.019514543
20,1966,1,0.019957773
21,1966,1,0.020308798
22,1966,1,0.020584408
23,1966,1,0.020798959
24,1966,1,0.020964577
25,1966,1,0.02109144
26,1966,1,0.021187631
27,1966,1,0.02125992
28,1966,1,0.021313726
29,1966,1,0.021353343
30,1966,1,0.021382148
31,1966,1,0.021402767
32,1966,1,0.021417238
33,1966,1,0.021427123
34,1966,1,0.021433621
35,1966,1,0.021437642
36,1966,1,0.021439871
37,1966,1,0.021440829
38,1966,1,0.021440829
39,1966,1,0.021440829
40,1966,1,0.021440829
1,1967,1,1.7195155e-06
2,1967,1,0.0143361226
3,1967,1,0.020173551
4,1967,1,0.026757656
5,1967,1,0.0187460422
6,1967,1,0.0112441264
7,1967,1,0.00881624
8,1967,1,0.00862209
9,1967,1,0.008727642
10,1967,1,0.008808394
11,1967,1,0.009090687
12,1967,1,0.009757791
13,1967,1,0.010728083
14,1967,1,0.011731494
15,1967,1,0.012604192
16,1967,1,0.013316856
17,1967,1,0.013883858
18,1967,1,0.014330324
19,1967,1,0.014680165
20,1967,1,0.014953239
21,1967,1,0.015165463
22,1967,1,0.015329548
23,1967,1,0.015455686
24,1967,1,0.015552046
25,1967,1,0.015625278
26,1967,1,0.015680321
27,1967,1,0.015721361
28,1967,1,0.015751678
29,1967,1,0.015773841
30,1967,1,0.015789835
31,1967,1,0.015801197
32,1967,1,0.015809098
33,1967,1,0.015814435
34,1967,1,0.015817892
35,1967,1,0.01581998
36,1967,1,0.015821087
37,1967,1,0.015821502
38,1967,1,0.015821502
39,1967,1,0.015821502
40,1967,1,0.015821502
1,1968,1,1.5563457e-06
2,1968,1,0.014039957
3,1968,1,0.018317089
4,1968,1,0.023414846
5,1968,1,0.01667625
