year,area,stage,f
1959,2,adult,0.00552884420215296
1960,2,adult,0.00526754300473756
1961,2,adult,0.00745072284498845
1962,2,adult,0.00961056230686426
1963,2,adult,0.00814944123486463
1964,2,adult,0.00794861012578175
1965,2,adult,0.0102770133740411
1966,2,adult,0.0114923844270259
1967,2,adult,0.0114684772965042
1968,2,adult,0.0157703309305462
1969,2,adult,0.0141777881647549
1970,2,adult,0.0248805296754494
1971,2,adult,0.0218479971273712
1972,2,adult,0.0199300780043664
1973,2,adult,0.0359085917387298
1974,2,adult,0.0432222373017646
1975,2,adult,0.0498694808034091
1976,2,adult,0.0482866054384947
1977,2,adult,0.0622991127448644
1978,2,adult,0.0827636138671663
1979,2,adult,0.0955251799078138
1980,2,adult,0.0788825236453221
1981,2,adult,0.0897231304066178
1982,2,adult,0.074711298199862
1983,2,adult,0.093423625483005
1984,2,adult,0.0971090730734315
1985,2,adult,0.0963234786083388
1986,2,adult,0.0980466017737145
1987,2,adult,0.098967179162593
1988,2,adult,0.109833981643608
1989,2,adult,0.106977637797268
1990,2,adult,0.111926448051056
1991,2,adult,0.119661841588006
1992,2,adult,0.113166096374032
1993,2,adult,0.10703061607594
1994,2,adult,0.137332874673361
1995,2,adult,0.173474379491577
1996,2,adult,0.243301523081058
1997,2,adult,0.222577248020266
1998,2,adult,0.273279921705248
1999,2,adult,0.252143194642214
2000,2,adult,0.326520207921426
2001,2,adult,0.312567139811909
2002,2,adult,0.261725452511447
2003,2,adult,0.298992988016745
2004,2,adult,0.356396032763265
2005,2,adult,0.260572097530641
2006,2,adult,0.27874969881622
2007,2,adult,0.311258231921266
2008,2,adult,0.281833217683079
2009,2,adult,0.279118198093107
2010,2,adult,0.231578105271344
2011,2,adult,0.246238966685495
2012,2,adult,0.341657501095357
2013,2,adult,0.39684042779989
2014,2,adult,0.57612728888281
2015,2,adult,0.550093382476943
2016,2,adult,0.464291918708189
2017,2,adult,0.368503660881875
2018,2,adult,0.520942814454898
2019,2,adult,0.474081218230468
2020,2,adult,0.36996684115239
2021,2,adult,0.460355657069125
1952,3,adult,0.0025859240886404
1953,3,adult,0.00463275016786518
1954,3,adult,0.00309772105907801
1955,3,adult,0.00143000464828779
1956,3,adult,0.00405424670382422
1957,3,adult,0.00708286876316295
1958,3,adult,0.00359600142900762
1959,3,adult,0.00158051517209052
1960,3,adult,0.00409427977797012
1961,3,adult,0.00519635835946991
1962,3,adult,0.010846436192884
1963,3,adult,0.00334601557146263
1964,3,adult,0.00253849170469712
1965,3,adult,0.00258956027963018
1966,3,adult,0.00552837876487396
1967,3,adult,0.00388772202712538
1968,3,adult,0.00411194334040806
1969,3,adult,0.00137861475875685
1970,3,adult,0.00123729708351205
1971,3,adult,0.00573088123239117
1972,3,adult,0.00380702494803205
1973,3,adult,0.0110210414517743
1974,3,adult,0.00433789258548443
1975,3,adult,0.00489268124456695
1976,3,adult,0.00684289018296996
1977,3,adult,0.00832181357485759
1978,3,adult,0.0103599661146088
1979,3,adult,0.00728507593892953
1980,3,adult,0.0266548329467644
1981,3,adult,0.025866258711477
1982,3,adult,0.0261275250111939
1983,3,adult,0.0284857755800422
1984,3,adult,0.0255940861299626
1985,3,adult,0.0287385404041648
1986,3,adult,0.020618657916777
1987,3,adult,0.00963276353937155
1988,3,adult,0.0114155716730409
1989,3,adult,0.0846660271974923
1990,3,adult,0.0497414490799309
1991,3,adult,0.0933084362556017
1992,3,adult,0.0483140743226025
1993,3,adult,0.0273591021454501
1994,3,adult,0.0165194419833243
1995,3,adult,0.0452955837702583
1996,3,adult,0.036510039088574
1997,3,adult,0.0396272372754433
1998,3,adult,0.0573649080494046
1999,3,adult,0.0338092090646501
2000,3,adult,0.0600239814082181
2001,3,adult,0.0629489433256382
2002,3,adult,0.0396389074381406
2003,3,adult,0.107002554603807
2004,3,adult,0.0662237518923008
2005,3,adult,0.0657438228275296
2006,3,adult,0.065421475965658
2007,3,adult,0.0677189364273421
2008,3,adult,0.101349036638439
2009,3,adult,0.110660799615065
2010,3,adult,0.172107457208491
2011,3,adult,0.156324233033609
2012,3,adult,0.243764209635457
2013,3,adult,0.213499132382574
2014,3,adult,0.138777143680618
2015,3,adult,0.0748047167162874
2016,3,adult,0.111937734850596
2017,3,adult,0.156668629537213
2018,3,adult,0.1037965178054
2019,3,adult,0.070717740640701
2020,3,adult,0.115626116388747
2021,3,adult,0.0683615693568587
1952,4,adult,0.00260169532168669
1953,4,adult,0.00357497912481069
1954,4,adult,0.00144108920200315
1955,4,adult,0.00407393768770309
1956,4,adult,0.00336022551601329
1957,4,adult,0.00722695225028959
1958,4,adult,0.00854148472095513
1959,4,adult,0.00793426440993721
1960,4,adult,0.0105783457612677
1961,4,adult,0.0123743888949103
1962,4,adult,0.011295534250649
1963,4,adult,0.014224630249701
1964,4,adult,0.0104216010176492
1965,4,adult,0.00973887452524854
1966,4,adult,0.0122744217452508
1967,4,adult,0.00781309393006787
1968,4,adult,0.00992895010868306
1969,4,adult,0.0121460457967608
1970,4,adult,0.00987423542392644
1971,4,adult,0.00905756744000547
1972,4,adult,0.0124797393055796
1973,4,adult,0.00981820117151845
1974,4,adult,0.00701171941038743
1975,4,adult,0.00899579870757806
1976,4,adult,0.0176961394382973
1977,4,adult,0.0210396420960427
1978,4,adult,0.0166770481831702
1979,4,adult,0.0226406652407353
1980,4,adult,0.0316608667546031
1981,4,adult,0.0191639320367788
1982,4,adult,0.0259838711486979
1983,4,adult,0.0277518511824071
1984,4,adult,0.0230989506549118
1985,4,adult,0.0243842985674912
1986,4,adult,0.0215199974862738
1987,4,adult,0.0297309487373874
1988,4,adult,0.0219189354469443
1989,4,adult,0.0225039481591858
1990,4,adult,0.0531952477754316
1991,4,adult,0.038253130929431
1992,4,adult,0.0726705692605668
1993,4,adult,0.0855352590752798
1994,4,adult,0.100791983695675
1995,4,adult,0.0706516706228489
1996,4,adult,0.0554145551871769
1997,4,adult,0.0966912712908916
1998,4,adult,0.122627681092006
1999,4,adult,0.0704864918162021
2000,4,adult,0.0939188473823491
2001,4,adult,0.119677372527819
2002,4,adult,0.110115641572992
2003,4,adult,0.0746106888560408
2004,4,adult,0.0817300283966855
2005,4,adult,0.118623413061442
2006,4,adult,0.0837217954206936
2007,4,adult,0.0897028251411907
2008,4,adult,0.115612221257126
2009,4,adult,0.0685443812825181
2010,4,adult,0.0927910670552074
2011,4,adult,0.0808982971652632
2012,4,adult,0.149213891388205
2013,4,adult,0.0695452294770721
2014,4,adult,0.120635494192001
2015,4,adult,0.113285436657745
2016,4,adult,0.100941765947934
2017,4,adult,0.112595542908791
2018,4,adult,0.0992146740054671
2019,4,adult,0.123952176709599
2020,4,adult,0.0645452629688965
