year,season,area,ssb
1982,1,4,1429100
1983,1,4,1471900
1984,1,4,1471900
1985,1,4,1463400
1986,1,4,1357600
1987,1,4,1455800
1988,1,4,1535300
1989,1,4,1544900
1990,1,4,1449400
1991,1,4,1224900
1992,1,4,1092000
1993,1,4,986380
1994,1,4,904230
1995,1,4,848410
1996,1,4,882200
1997,1,4,920170
1998,1,4,880240
1999,1,4,782710
2000,1,4,758240
2001,1,4,726160
2002,1,4,676990
2003,1,4,667990
2004,1,4,713840
2005,1,4,692510
2006,1,4,644370
2007,1,4,645510
2008,1,4,644490
2009,1,4,658840
2010,1,4,695440
2011,1,4,687990
2012,1,4,678820
2013,1,4,631990
2014,1,4,707600
2015,1,4,756760
2016,1,4,818890
2017,1,4,848160
2018,1,4,794050
2019,1,4,767420
2020,1,4,837530
2021,1,4,993670
1952,2,4,2455900
1953,2,4,2349000
1954,2,4,2295900
1955,2,4,2227600
1956,2,4,2352000
1957,2,4,2371000
1958,2,4,2323200
1959,2,4,2317200
1960,2,4,2389600
1961,2,4,2222600
1962,2,4,1905400
1963,2,4,1782200
1964,2,4,1753900
1965,2,4,1769100
1966,2,4,1886700
1967,2,4,1784600
1968,2,4,1730300
1969,2,4,1689700
1970,2,4,1642000
1971,2,4,1735100
1972,2,4,1699400
1973,2,4,1500100
1974,2,4,1379900
1975,2,4,1355300
1976,2,4,1235700
1977,2,4,1325600
1978,2,4,1491800
1979,2,4,1498300
1980,2,4,1396600
1981,2,4,1324000
1982,2,4,1287100
1983,2,4,1324100
1984,2,4,1322200
1985,2,4,1288100
1986,2,4,1219100
1987,2,4,1330700
1988,2,4,1378400
1989,2,4,1365800
1990,2,4,1247700
1991,2,4,1054000
1992,2,4,949190
1993,2,4,848530
1994,2,4,794830
1995,2,4,740920
1996,2,4,785180
1997,2,4,813720
1998,2,4,758700
1999,2,4,680850
2000,2,4,662240
2001,2,4,630090
2002,2,4,600260
2003,2,4,589870
2004,2,4,631140
2005,2,4,605090
2006,2,4,572720
2007,2,4,568170
2008,2,4,589660
2009,2,4,607310
2010,2,4,630270
2011,2,4,620490
2012,2,4,579220
2013,2,4,570670
2014,2,4,647530
2015,2,4,686340
2016,2,4,736390
2017,2,4,754910
2018,2,4,696630
2019,2,4,673990
2020,2,4,785650
2021,2,4,903610
1952,3,4,2645500
1953,3,4,2557700
1954,3,4,2505200
1955,3,4,2429300
1956,3,4,2623600
1957,3,4,2582100
1958,3,4,2570600
1959,3,4,2593200
1960,3,4,2635300
1961,3,4,2374600
1962,3,4,2057800
1963,3,4,1962200
1964,3,4,1939800
1965,3,4,2000300
1966,3,4,2070600
1967,3,4,1947600
1968,3,4,1912400
1969,3,4,1870900
1970,3,4,1827400
1971,3,4,1957400
1972,3,4,1842900
1973,3,4,1630000
1974,3,4,1534200
1975,3,4,1488800
1976,3,4,1381100
1977,3,4,1560900
1978,3,4,1698300
1979,3,4,1658100
1980,3,4,1530800
1981,3,4,1460500
1982,3,4,1452900
1983,3,4,1500600
1984,3,4,1502400
1985,3,4,1420100
1986,3,4,1397700
1987,3,4,1534500
1988,3,4,1576900
1989,3,4,1543600
1990,3,4,1387400
1991,3,4,1193200
1992,3,4,1089300
1993,3,4,996050
1994,3,4,941850
1995,3,4,902510
1996,3,4,941620
1997,3,4,945800
1998,3,4,884120
1999,3,4,810790
2000,3,4,807160
2001,3,4,742850
2002,3,4,733170
2003,3,4,740920
2004,3,4,768010
2005,3,4,728090
2006,3,4,701990
2007,3,4,673460
2008,3,4,725290
2009,3,4,732760
2010,3,4,736790
2011,3,4,735580
2012,3,4,682240
2013,3,4,712070
2014,3,4,786340
2015,3,4,839770
2016,3,4,895000
2017,3,4,890030
2018,3,4,818820
2019,3,4,810070
2020,3,4,951910
2021,3,4,1037400
1952,4,4,2538800
1953,4,4,2464800
1954,4,4,2412900
1955,4,4,2379000
1956,4,4,2560800
1957,4,4,2481300
