rel.group,area,year,season,program,length,lendist
3,2,1991,1,RTTP,24,15.5138595182623
3,2,1991,1,RTTP,26,167.279876544741
3,2,1991,1,RTTP,28,319.720409202449
3,2,1991,1,RTTP,30,147.718923239106
3,2,1991,1,RTTP,32,140.973766926818
3,2,1991,1,RTTP,34,191.562439268978
3,2,1991,1,RTTP,36,178.73657487815
3,2,1991,1,RTTP,38,215.329195922275
3,2,1991,1,RTTP,40,177.900821087265
3,2,1991,1,RTTP,42,66.1667714443485
3,2,1991,1,RTTP,44,24.2825627242367
3,2,1991,1,RTTP,46,7.41967194351675
3,2,1991,1,RTTP,48,10.1177344684319
3,2,1991,1,RTTP,50,15.5138595182623
3,2,1991,1,RTTP,52,33.051265930211
3,2,1991,1,RTTP,54,53.2867348670749
3,2,1991,1,RTTP,56,15.5138595182623
3,2,1991,1,RTTP,58,0.674515631228796
3,2,1991,1,RTTP,60,2.02354689368639
3,2,1991,1,RTTP,62,3.37257815614398
3,2,1991,1,RTTP,64,0.674515631228796
3,2,1991,1,RTTP,66,2.02354689368639
3,2,1991,1,RTTP,68,4.04709378737278
3,2,1991,1,RTTP,70,2.02354689368639
3,2,1991,1,RTTP,72,1.34903126245759
3,2,1991,1,RTTP,74,2.69806252491518
3,2,1991,1,RTTP,76,2.69806252491518
3,2,1991,1,RTTP,78,0
3,2,1991,1,RTTP,80,0
3,2,1991,1,RTTP,82,0
3,2,1991,1,RTTP,84,0
3,2,1991,1,RTTP,86,0
3,2,1991,1,RTTP,88,0
3,2,1991,1,RTTP,90,0
3,2,1991,1,RTTP,92,0
3,2,1991,1,RTTP,94,0
3,2,1991,1,RTTP,96,0.674515631228796
3,2,1991,1,RTTP,98,0
3,2,1991,1,RTTP,100,0
3,2,1991,1,RTTP,102,0
3,2,1991,1,RTTP,104,0
3,2,1991,1,RTTP,106,0
3,2,1991,1,RTTP,108,0
3,2,1991,1,RTTP,110,0
3,2,1991,1,RTTP,112,0
3,2,1991,1,RTTP,114,0
3,2,1991,1,RTTP,116,0
3,2,1991,1,RTTP,118,0
3,2,1991,1,RTTP,120,0
3,2,1991,1,RTTP,122,0
3,2,1991,1,RTTP,124,0
3,2,1991,1,RTTP,126,0
3,2,1991,1,RTTP,128,0
3,2,1991,1,RTTP,130,0
3,2,1991,1,RTTP,132,0
3,2,1991,1,RTTP,134,0
3,2,1991,1,RTTP,136,0
3,2,1991,1,RTTP,138,0
3,2,1991,1,RTTP,140,0
3,2,1991,1,RTTP,142,0
3,2,1991,1,RTTP,144,0
3,2,1991,1,RTTP,146,0
3,2,1991,1,RTTP,148,0
3,2,1991,1,RTTP,150,0
3,2,1991,1,RTTP,152,0
3,2,1991,1,RTTP,154,0
3,2,1991,1,RTTP,156,0
3,2,1991,1,RTTP,158,0
3,2,1991,1,RTTP,160,0
3,2,1991,1,RTTP,162,0
3,2,1991,1,RTTP,164,0
3,2,1991,1,RTTP,166,0
3,2,1991,1,RTTP,168,0
3,2,1991,1,RTTP,170,0
3,2,1991,1,RTTP,172,0
3,2,1991,1,RTTP,174,0
3,2,1991,1,RTTP,176,0
3,2,1991,1,RTTP,178,0
3,2,1991,1,RTTP,180,0
3,2,1991,1,RTTP,182,0
3,2,1991,1,RTTP,184,0
3,2,1991,1,RTTP,186,0
3,2,1991,1,RTTP,188,0
3,2,1991,1,RTTP,190,0
3,2,1991,1,RTTP,192,0
3,2,1991,1,RTTP,194,0
3,2,1991,1,RTTP,196,0
3,2,1991,1,RTTP,198,0
4,2,1991,2,RTTP,10,0
4,2,1991,2,RTTP,12,0
4,2,1991,2,RTTP,14,0
4,2,1991,2,RTTP,16,0
4,2,1991,2,RTTP,18,0
4,2,1991,2,RTTP,20,0
4,2,1991,2,RTTP,22,0
4,2,1991,2,RTTP,24,14.2069459101179
4,2,1991,2,RTTP,26,46.0034438994295
4,2,1991,2,RTTP,28,24.354764417345
4,2,1991,2,RTTP,30,32.4730192231267
4,2,1991,2,RTTP,32,123.803385788171
4,2,1991,2,RTTP,34,105.537312475162
4,2,1991,2,RTTP,36,199.044312575089
4,2,1991,2,RTTP,38,202.499718311717
